id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG10817,Anne Severn and the Fieldings,"Sinclair, May",1863,1946,['en'],4,"{'Domestic fiction', 'Country life -- England -- Fiction'}"
PG10826,The Book-Bills of Narcissus: An Account Rendered by Richard Le Gallienne,"Le Gallienne, Richard",1866,1947,['en'],10,{'Fiction'}
PG10844,A Gentleman from Mississippi,"Rhodes, Harrison",1871,1929,['en'],3,"{'Political fiction', 'Legislators -- United States -- Fiction'}"
PG10848,"Natalie; Or, A Gem Among the Sea-Weeds","Hallett, Emma V.",1832,1908,['en'],16,"{'Christian life -- Fiction', 'Foundlings -- Fiction', 'Nantucket Island (Mass.) -- Fiction'}"
PG10849,Saved at Sea: A Lighthouse Story,"Walton, O. F., Mrs.",1849,1939,['en'],34,"{'Christian life -- Juvenile fiction', 'Lighthouses -- Juvenile fiction', 'Shipwrecks -- Juvenile fiction', 'Scotland -- Juvenile fiction', 'Islands -- Juvenile fiction'}"
PG10862,The White Waterfall,"Dwyer, James Francis",1874,1952,['en'],9,"{'Islands of the Pacific -- Fiction', 'Adventure stories'}"
PG10869,The Abandoned Room,"Camp, Wadsworth",1879,1936,['en'],784,{'Mystery fiction'}
PG1086,A Horse's Tale,"Twain, Mark",1835,1910,['en'],85,{'Fiction'}
PG10871,"At Sunwich Port, Part 1.: Contents: Chapters 1-5","Jacobs, W. W. (William Wymark)",1863,1943,['en'],9,"{'Fathers and sons -- Fiction', 'Ship captains -- Fiction', 'Family -- England -- Fiction', 'Betrothal -- Fiction'}"
PG10872,"At Sunwich Port, Part 2.: Contents: Chapters 6-10","Jacobs, W. W. (William Wymark)",1863,1943,['en'],8,"{'Fathers and sons -- Fiction', 'Ship captains -- Fiction', 'Family -- England -- Fiction', 'Betrothal -- Fiction'}"
PG10873,"At Sunwich Port, Part 3.: Contents: Chapters 11-15","Jacobs, W. W. (William Wymark)",1863,1943,['en'],9,"{'Fathers and sons -- Fiction', 'Ship captains -- Fiction', 'Family -- England -- Fiction', 'Betrothal -- Fiction'}"
PG10874,"At Sunwich Port, Part 4.: Contents: Chapters 16-20","Jacobs, W. W. (William Wymark)",1863,1943,['en'],5,"{'Fathers and sons -- Fiction', 'Ship captains -- Fiction', 'Family -- England -- Fiction', 'Betrothal -- Fiction'}"
PG10875,"At Sunwich Port, Part 5.: Contents: Chapters 21-25","Jacobs, W. W. (William Wymark)",1863,1943,['en'],5,"{'Fathers and sons -- Fiction', 'Ship captains -- Fiction', 'Family -- England -- Fiction', 'Betrothal -- Fiction'}"
PG10876,"At Sunwich Port, Complete","Jacobs, W. W. (William Wymark)",1863,1943,['en'],18,"{'Fathers and sons -- Fiction', 'Ship captains -- Fiction', 'Family -- England -- Fiction', 'Betrothal -- Fiction'}"
PG10882,The Eagle's Shadow,"Cabell, James Branch",1879,1958,['en'],41,"{'Middle Ages -- Fiction', 'Historical fiction', 'Fantasy fiction'}"
PG10888,"Arthur Hamilton, and His Dog",Anonymous,,,['en'],6,"{'Children and death -- Juvenile fiction', ""Children's stories"", 'Sunday school literature'}"
PG10892,Dawn,"Haggard, H. Rider (Henry Rider)",1856,1925,['en'],37,"{'Paranormal fiction', 'Fantasy fiction'}"
PG10899,Olivia in India,"Douglas, O.",1877,1948,['en'],12,{'India -- Fiction'}
PG10901,Three Young Knights,"Donnell, Annie Hamilton",1862,1943,['en'],10,"{'Christian life -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Sunday school literature'}"
PG10902,Big and Little Sisters: A Story of an Indian Mission School,"Jenness, Theodora R. (Theodora Robinson)",1847,,['en'],8,"{'Indian students -- Juvenile fiction', ""Children's stories"", 'Off-reservation boarding schools -- Juvenile fiction', 'Indians of North America -- Education -- Juvenile fiction', 'Dakota youth -- Juvenile fiction'}"
PG10904,"Frank Merriwell's Nobility; Or, The Tragedy of the Ocean Tramp","Standish, Burt L.",1866,1945,['en'],4,"{'Ocean travel -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction'}"
PG10905,"Phantom Fortune, a Novel","Braddon, M. E. (Mary Elizabeth)",1835,1915,['en'],37,{'English fiction -- 19th century'}
PG10911,Buried Alive: A Tale of These Days,"Bennett, Arnold",1867,1931,['en'],35,"{'Artists -- Fiction', 'England -- Fiction', 'Mistaken identity -- Fiction', 'Painters -- Fiction', 'Valets -- Fiction'}"
PG10920,"Two Years Ago, Volume I","Kingsley, Charles",1819,1875,['en'],17,{'Cholera -- Fiction'}
PG10922,Young Lives,"Le Gallienne, Richard",1866,1947,['en'],6,{'English fiction -- 19th century'}
PG10929,The Dog Crusoe and His Master: A Story of Adventure in the Western Prairies,"Ballantyne, R. M. (Robert Michael)",1825,1894,['en'],18,"{'Dogs -- Fiction', 'Adventure stories'}"
PG10930,"The Buccaneer Farmer: Published in England under the Title ""Askew's Victory""","Bindloss, Harold",1866,1945,['en'],5,{'Farmers -- Fiction'}
PG10932,Over the Pass,"Palmer, Frederick",1873,1958,['en'],11,"{'Young men -- Fiction', 'Western stories', 'Arizona -- Fiction', 'Children of the rich -- Fiction', 'New York (N.Y.) -- Fiction', 'Love stories', 'Fathers and sons -- Fiction'}"
PG10942,The Claim Jumpers: A Romance,"White, Stewart Edward",1873,1946,['en'],4,"{'Man-woman relationships -- Fiction', 'West (U.S.) -- Social life and customs -- Fiction', 'Community life -- West (U.S.) -- Fiction'}"
PG10943,Elusive Isabel,"Futrelle, Jacques",1875,1912,['en'],17,"{'Spy stories', 'Fiction'}"
PG10948,The Stories of the Three Burglars,"Stockton, Frank Richard",1834,1902,['en'],4,"{'Aunts -- Fiction', 'Detectives -- Fiction', 'Storytelling -- Fiction', 'Burglars -- Fiction', 'Authors -- Fiction'}"
PG10954,The Girl Aviators' Sky Cruise,"Burnham, Margaret",,,['en'],7,"{'Aeronautics -- Juvenile fiction', 'Airplanes -- Juvenile fiction', 'Women air pilots -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction'}"
PG10959,The Visits of Elizabeth,"Glyn, Elinor",1864,1943,['en'],13,"{'Young women -- Fiction', 'Epistolary fiction', 'Aristocracy (Social class) -- Fiction'}"
PG10963,The Grip of Desire: The Story of a Parish-Priest,"France, Hector",1837,1908,['en'],12,"{'Priests -- Fiction', 'Villages -- France -- Fiction'}"
PG10966,The Ghost Pirates,"Hodgson, William Hope",1877,1918,['en'],112,"{'Pirates -- Fiction', 'Sea stories', 'Fantasy fiction', 'Science fiction', 'Horror tales'}"
PG10977,The Grizzly King: A Romance of the Wild,"Curwood, James Oliver",1878,1927,['en'],45,"{'Wilderness areas -- Fiction', 'Grizzly bear -- Fiction'}"
PG10978,Hidden Creek,"Burt, Katharine Newlin",1882,1977,['en'],0,"{'Young women -- Fiction', 'Frontier and pioneer life -- West (U.S.) -- Fiction', 'Orphans -- Fiction'}"
PG10987,"The Extraordinary Adventures of Poor Little Bewildered Henry, Who was shut up in an Old Abbey for Three Weeks: A Story Founded on Fact",Anonymous,,,['en'],7,"{'Christian life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Missing children -- Juvenile fiction', 'Dogs -- Juvenile fiction'}"
PG10988,The Devil's Admiral,"Moore, Frederick Ferdinand",1881,1947,['en'],6,"{'Journalists -- Fiction', 'Pirates -- Fiction', 'Adventure stories', 'Sea stories'}"
PG1098,The Turmoil: A Novel,"Tarkington, Booth",1869,1946,['en'],61,"{'City and town life -- Fiction', 'Domestic fiction', 'Young men -- Fiction', 'Children of the rich -- Fiction', 'Social classes -- Fiction', 'Middle West -- Fiction', 'Bildungsromans'}"
PG10993,The World's Greatest Books — Volume 05 — Fiction,,,,['en'],74,{'Fiction'}
PG1099,The Riverman,"White, Stewart Edward",1873,1946,['en'],51,"{'Conduct of life -- Fiction', 'Labor movement -- Fiction', 'Adventure and adventurers -- Fiction', 'Loggers -- Fiction', 'Youth -- Conduct of life -- Fiction', 'Rivers -- Fiction'}"
PG11004,Joe Burke's Last Stand,"Wetterau, John Moncure",,,['en'],7,{'Fiction'}
PG11005,O+F,"Wetterau, John Moncure",,,['en'],5,{'Fiction'}
PG11012,The Autobiography of an Ex-Colored Man,"Johnson, James Weldon",1871,1938,['en'],559,"{'Racially mixed people -- Fiction', 'African American men -- Fiction'}"
PG11022,Sowing and Reaping: A Temperance Story,"Harper, Frances Ellen Watkins",1825,1911,['en'],6,"{'African Americans -- Fiction', 'Temperance -- Fiction'}"
PG11033,"The Angel Over the Right Shoulder; Or, The Beginning of a New Year","Trusta, H.",1815,1852,['en'],59,"{'Christian life -- Juvenile fiction', 'Housewives -- Juvenile fiction'}"
PG11041,"The Half-Back: A Story of School, Football, and Golf","Barbour, Ralph Henry",1870,1944,['en'],8,"{'Golf -- Juvenile fiction', 'Football -- Juvenile fiction', 'Students -- Juvenile fiction', 'School sports -- Juvenile fiction'}"
PG11045,The Ghost Ship,"Middleton, Richard",1882,1911,['en'],96,"{'Manners and customs -- Fiction', 'Horror tales', 'Ghost stories', 'Fantasy fiction'}"
PG11053,Minnie's Sacrifice,"Harper, Frances Ellen Watkins",1825,1911,['en'],148,{'African Americans -- Fiction'}
PG11055,Lord Dolphin,"Cheever, Harriet A. (Harriet Anna)",,,['en'],8,{'Dolphins -- Juvenile fiction'}
PG11056,Trial and Triumph,"Harper, Frances Ellen Watkins",1825,1911,['en'],38,{'African Americans -- Fiction'}
PG11057,"The Wife of his Youth and Other Stories of the Color Line, and Selected Essays","Chesnutt, Charles W. (Charles Waddell)",1858,1932,['en'],290,"{'Racially mixed people -- Fiction', 'American essays', 'African Americans -- Fiction', 'Race awareness -- Fiction', 'Race relations -- Fiction', 'Racism -- Fiction'}"
PG11062,The Dozen from Lakerim,"Hughes, Rupert",1872,1956,['en'],3,"{'Preparatory schools -- Juvenile fiction', 'Games -- Juvenile fiction', 'Sports stories'}"
PG11069,Squinty the Comical Pig: His Many Adventures,"Barnum, Richard",,,['en'],73,"{'Swine -- Juvenile fiction', 'Circus -- Juvenile fiction', 'Animals -- Juvenile fiction'}"
