id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG13442,Henry Hudson: A Brief Statement of His Aims and His Achievements,"Janvier, Thomas A. (Thomas Allibone)",1849,1913,['en'],40,"{'Explorers -- Great Britain -- Biography', 'Hudson, Henry, -1611'}"
PG1331,ABC's of Science,"Oliver, Charles A. (Charles Alexander)",1858,1932,['en'],26,{'Science -- Study and teaching'}
PG13443,"Scientific American Supplement, No. 795, March 28, 1891",Various,,,['en'],9,{'Science -- Periodicals'}
PG13444,Searchlights on Health: The Science of Eugenics,"Jefferis, B. G. (Benjamin Grant)",1851,,['en'],74,"{'Eugenics', 'Marriage', 'Medicine, Popular', 'Sexual ethics', 'Hygiene'}"
PG13467,Study of Child Life,"Washburne, Marion Foster",1863,,['en'],26,{'Education'}
PG13602,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume IV, Georgia Narratives, Part 1",United States. Work Projects Administration,,,['en'],114,"{'African Americans -- Georgia -- Biography', 'Slaves -- Georgia -- Biography', 'Slave narratives -- Georgia', 'Slavery -- Georgia', 'Slaves -- Georgia -- Social conditions'}"
PG13775,Every Step in Canning: The Cold-Pack Method,"Gray, Grace Viall",,,['en'],58,{'Canning and preserving'}
PG13872,"The Ten Pleasures of Marriage: and the Second Part, The Confession of the New Married Couple","Marsh, A.",,,['en'],58,{'Marriage'}
PG14017,"Clara A. Swain, M.D.","Hoskins, Robert, Mrs.",1837,,['en'],7,"{'Women missionaries -- Biography', 'Swain, Clara A., 1834-1910'}"
PG14975,Southern Horrors: Lynch Law in All Its Phases,"Wells-Barnett, Ida B.",1862,1931,['en'],2406,{'Lynching'}
PG16647,An Outline of the Relations between England and Scotland (500-1707),"Rait, Robert S. (Robert Sangster)",1874,1936,['en'],38,"{'England -- Foreign relations -- Scotland', 'Scotland -- Foreign relations -- England'}"
PG16650,The Complete Home,,,,['en'],32,{'Home economics'}
PG16655,"Artist and Public, and Other Essays on Art Subjects","Cox, Kenyon",1856,1919,['en'],25,{'Art'}
PG16657,The Book of Missionary Heroes,"Mathews, Basil",1879,1951,['en'],45,{'Missionaries'}
PG16658,"Piano and Song: How to Teach, How to Learn, and How to Form a Judgment of Musical Performances","Wieck, Friedrich",1785,1873,['en'],55,"{'Piano -- Instruction and study', 'Singing'}"
PG16728,"A Catechism of Familiar Things;: Their History, and the Events Which Led to Their Discovery.; With a Short Explanation of Some of the Principal Natural Phenomena. For the Use of Schools and Families. Enlarged and Revised Edition.",Anonymous,,,['en'],87,{'Science -- Popular works'}
PG16729,"Lay Sermons, Addresses and Reviews","Huxley, Thomas Henry",1825,1895,['en'],27,"{'Science -- Philosophy', 'Science', 'Evolution (Biology)'}"
PG16736,Books and Culture,"Mabie, Hamilton Wright",1846,1916,['en'],26,{'Books and reading'}
PG1674,The Narrative of Sojourner Truth,"Gilbert, Olive",,,['en'],85,"{'African American abolitionists -- Biography', 'Truth, Sojourner, -1883', 'African Americans -- Biography', 'Social reformers -- United States -- Biography', 'Abolitionists -- United States -- Biography'}"
PG16750,The Colored Regulars in the United States Army,"Steward, T. G. (Theophilus Gould)",1843,1924,['en'],25,"{'African American soldiers', 'Spanish-American War, 1898 -- Participation, African American'}"
PG16863,Lives of the Three Mrs. Judsons,"Willson, Arabella M.",,,['en'],24,"{'Judson, Sarah Boardman, 1803-1845', ""Missionaries' spouses -- Burma -- Biography"", 'Judson, Emily C. (Emily Chubbuck), 1817-1854', 'Judson, Ann Hasseltine, 1789-1826', 'Women missionaries -- Burma -- Biography', 'Women missionaries -- United States -- Biography', 'Judson, Adoniram, 1788-1850'}"
PG16938,"Pressure, Resistance, and Stability of Earth: American Society of Civil Engineers: Transactions, Paper No. 1174, Volume LXX, December 1910","Meem, J. C.",,,['en'],19,"{'Civil engineering -- Periodicals', 'Soil mechanics'}"
PG1694,Our Legal Heritage: The First Thousand Years: 600 - 1600: King Aethelbert - Queen Elizabeth,"Reilly, S. A.",,,['en'],22,{'Law -- England -- History'}
PG17001,An Elementary Course in Synthetic Projective Geometry,"Lehmer, Derrick Norman",1868,1938,['en'],62,"{'Geometry, Projective'}"
PG1707,A History of Science — Volume 3,"Williams, Edward Huntington",1868,1944,['en'],24,{'Science -- History'}
PG17124,The Atlas of Ancient and Classical Geography,"Butler, Samuel",1774,1839,['en'],205,"{'Classical geography -- Maps', 'Geography, Ancient -- Maps', 'Atlases'}"
PG17321,"History of Egypt, Chaldea, Syria, Babylonia, and Assyria in the Light of Recent Discovery","Hall, H. R. (Harry Reginald)",1873,1930,['en'],192,"{'Egypt -- History -- To 332 B.C.', 'History, Ancient'}"
PG17322,"History of Egypt, Chaldæa, Syria, Babylonia, and Assyria, Volume 2 (of 12)","Maspero, G. (Gaston)",1846,1916,['en'],95,"{'Civilization, Ancient', 'Middle East -- History', 'Egypt -- History -- To 640 A.D.', 'History, Ancient'}"
PG17323,"History of Egypt, Chaldæa, Syria, Babylonia, and Assyria, Volume 3 (of 12)","Maspero, G. (Gaston)",1846,1916,['en'],199,"{'Civilization, Ancient', 'Middle East -- History', 'Egypt -- History -- To 640 A.D.', 'History, Ancient'}"
PG17324,"History of Egypt, Chaldæa, Syria, Babylonia, and Assyria, Volume 4 (of 12)","Maspero, G. (Gaston)",1846,1916,['en'],93,"{'Civilization, Ancient', 'Middle East -- History', 'Egypt -- History -- To 640 A.D.', 'History, Ancient'}"
PG17325,"History of Egypt, Chaldæa, Syria, Babylonia, and Assyria, Volume 5 (of 12)","Maspero, G. (Gaston)",1846,1916,['en'],174,"{'Civilization, Ancient', 'Middle East -- History', 'Egypt -- History -- To 640 A.D.', 'History, Ancient'}"
PG17326,"History of Egypt, Chaldæa, Syria, Babylonia, and Assyria, Volume 6 (of 12)","Maspero, G. (Gaston)",1846,1916,['en'],35,"{'Civilization, Ancient', 'Middle East -- History', 'Egypt -- History -- To 640 A.D.', 'History, Ancient'}"
PG17327,"History of Egypt, Chaldæa, Syria, Babylonia, and Assyria, Volume 7 (of 12)","Maspero, G. (Gaston)",1846,1916,['en'],72,"{'Civilization, Ancient', 'Middle East -- History', 'Egypt -- History -- To 640 A.D.', 'History, Ancient'}"
PG17328,"History of Egypt, Chaldæa, Syria, Babylonia, and Assyria, Volume 8 (of 12)","Maspero, G. (Gaston)",1846,1916,['en'],47,"{'Civilization, Ancient', 'Middle East -- History', 'Egypt -- History -- To 640 A.D.', 'History, Ancient'}"
PG17329,"History of Egypt, Chaldæa, Syria, Babylonia, and Assyria, Volume 9 (of 12)","Maspero, G. (Gaston)",1846,1916,['en'],38,"{'Civilization, Ancient', 'Middle East -- History', 'Egypt -- History -- To 640 A.D.', 'History, Ancient'}"
PG17330,"History of Egypt From 330 B.C. To the Present Time, Volume 10 (of 12)","Rappoport, A. S. (Angelo Solomon)",1871,1950,['en'],32,{'Egypt -- History'}
PG17331,"History of Egypt From 330 B.C. To the Present Time, Volume 11 (of 12)","Rappoport, A. S. (Angelo Solomon)",1871,1950,['en'],51,{'Egypt -- History'}
PG17332,"History of Egypt From 330 B.C. To the Present Time, Volume 12 (of 12)","Rappoport, A. S. (Angelo Solomon)",1871,1950,['en'],45,{'Egypt -- History'}
PG17366,"Notes on Nursing: What It Is, and What It Is Not","Nightingale, Florence",1820,1910,['en'],332,{'Nursing'}
PG17385,100 New Yorkers of the 1970s,"Millard, Max",,,['en'],124,{'New York (N.Y.) -- Biography'}
PG17386,The Leading Facts of English History,"Montgomery, D. H. (David Henry)",1837,1928,['en'],15,{'Great Britain -- History'}
